time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-01-01 00:00:00,42.8,28.6,57.0,0.0,,260.0,6.8,,1017.0,,3.0
2024-01-01 01:00:00,42.1,27.9,57.0,0.0,,260.0,7.0,,1016.4,,3.0
2024-01-01 02:00:00,42.1,28.8,59.0,0.0,,260.0,5.8,,1016.4,,3.0
2024-01-01 03:00:00,42.1,30.0,62.0,0.0,,250.0,5.8,,1016.4,,3.0
2024-01-01 04:00:00,42.1,30.7,64.0,0.0,,260.0,5.8,,1016.5,,3.0
2024-01-01 05:00:00,42.1,30.7,64.0,0.0,,250.0,9.2,,1016.7,,3.0
2024-01-01 06:00:00,42.1,30.7,64.0,0.0,,260.0,9.2,,1016.4,,3.0
2024-01-01 07:00:00,42.1,30.7,64.0,0.0,,270.0,7.0,,1016.2,,3.0
2024-01-01 08:00:00,41.0,30.9,67.0,0.0,,260.0,7.0,,1016.2,,3.0
2024-01-01 09:00:00,41.0,30.2,65.0,0.0,,250.0,4.7,,1015.8,,3.0
2024-01-01 10:00:00,41.0,30.9,67.0,0.0,,250.0,4.7,,1015.8,,3.0
2024-01-01 11:00:00,41.0,30.9,67.0,0.0,,260.0,4.7,,1016.3,,3.0
2024-01-01 12:00:00,39.9,32.9,76.0,0.0,,326.0,3.4,,1016.7,,3.0
2024-01-01 13:00:00,41.0,35.1,79.0,0.0,,0.0,0.0,,1017.1,,3.0
2024-01-01 14:00:00,41.0,34.0,76.0,0.0,,3.0,5.8,,1017.4,,3.0
2024-01-01 15:00:00,42.1,35.1,76.0,0.0,,290.0,4.7,,1017.6,,3.0
2024-01-01 16:00:00,44.1,34.9,70.0,0.0,,290.0,11.4,,1017.3,,3.0
2024-01-01 17:00:00,46.0,32.9,60.0,0.0,,26.0,4.7,,1016.6,,3.0
2024-01-01 18:00:00,48.9,34.0,56.0,0.0,,32.0,3.4,,1016.3,,3.0
2024-01-01 19:00:00,46.0,32.9,60.0,0.0,,16.0,4.7,,1016.4,,3.0
2024-01-01 20:00:00,46.9,31.1,54.0,0.0,,340.0,5.8,,1016.6,,3.0
2024-01-01 21:00:00,46.0,29.8,53.0,0.0,,0.0,0.0,,1016.9,,3.0
2024-01-01 22:00:00,45.0,30.2,56.0,0.0,,348.0,3.4,,1017.2,,3.0
2024-01-01 23:00:00,44.1,30.2,58.0,0.0,,0.0,0.0,,1017.8,,3.0
2024-01-02 00:00:00,43.0,27.9,55.0,0.0,,353.0,3.4,,1018.2,,3.0
2024-01-02 01:00:00,42.1,30.0,62.0,0.0,,332.0,3.4,,1018.5,,2.0
2024-01-02 02:00:00,41.0,30.2,65.0,0.0,,347.0,5.8,,1018.7,,3.0
2024-01-02 03:00:00,39.9,28.0,62.0,0.0,,0.0,0.0,,1019.1,,3.0
2024-01-02 04:00:00,37.9,26.8,64.0,0.0,,0.0,0.0,,1019.2,,2.0
2024-01-02 05:00:00,37.0,28.9,72.0,0.0,,80.0,5.8,,1019.0,,1.0
2024-01-02 06:00:00,36.0,27.1,70.0,0.0,,352.0,4.7,,1019.0,,1.0
2024-01-02 07:00:00,36.0,27.1,70.0,0.0,,50.0,7.0,,1018.9,,1.0
2024-01-02 08:00:00,34.0,26.2,73.0,0.0,,50.0,5.8,,1019.2,,1.0
2024-01-02 09:00:00,34.0,24.8,69.0,0.0,,347.0,4.7,,1019.4,,1.0
2024-01-02 10:00:00,33.1,24.1,69.0,0.0,,344.0,7.0,,1019.2,,1.0
2024-01-02 11:00:00,32.0,23.0,69.0,0.0,,348.0,5.8,,1019.8,,1.0
2024-01-02 12:00:00,32.0,23.0,69.0,0.0,,344.0,3.4,,1020.3,,1.0
2024-01-02 13:00:00,32.0,23.0,69.0,0.0,,334.0,3.4,,1020.6,,1.0
2024-01-02 14:00:00,34.0,24.3,67.0,0.0,,332.0,4.7,,1020.8,,1.0
2024-01-02 15:00:00,35.1,23.0,61.0,0.0,,250.0,7.0,,1020.8,,1.0
2024-01-02 16:00:00,37.9,24.8,59.0,0.0,,250.0,9.2,,1020.2,,1.0
2024-01-02 17:00:00,39.9,25.0,55.0,0.0,,250.0,9.2,,1018.9,,1.0
2024-01-02 18:00:00,43.0,26.1,51.0,0.0,,297.0,4.7,,1017.7,,1.0
2024-01-02 19:00:00,46.0,24.8,43.0,0.0,,295.0,4.7,,1016.6,,1.0
2024-01-02 20:00:00,46.0,24.8,43.0,0.0,,260.0,4.7,,1016.6,,1.0
2024-01-02 21:00:00,44.1,23.0,43.0,0.0,,260.0,7.0,,1016.6,,1.0
2024-01-02 22:00:00,43.0,23.0,45.0,0.0,,0.0,0.0,,1016.8,,1.0
2024-01-02 23:00:00,43.0,23.0,45.0,0.0,,0.0,0.0,,1016.8,,1.0
2024-01-03 00:00:00,42.1,22.8,46.0,0.0,,260.0,4.7,,1017.0,,1.0
